Tanggal;Terakhir
19/06/2024;9.100
14/06/2024;9.200
13/06/2024;9.200
12/06/2024;9.250
11/06/2024;9.300
10/06/2024;9.525
07/06/2024;9.325
06/06/2024;9.475
05/06/2024;9.450
04/06/2024;9.350
03/06/2024;9.275
31/05/2024;9.250
30/05/2024;9.000
29/05/2024;9.150
28/05/2024;9.300
27/05/2024;9.300
22/05/2024;9.425
21/05/2024;9.375
20/05/2024;9.475
17/05/2024;9.750
16/05/2024;9.600
15/05/2024;9.500
14/05/2024;9.550
13/05/2024;9.525
08/05/2024;9.375
07/05/2024;9.700
06/05/2024;9.800
03/05/2024;9.850
02/05/2024;9.550
30/04/2024;9.800
29/04/2024;9.800
26/04/2024;9.625
25/04/2024;9.775
24/04/2024;9.950
23/04/2024;9.725
22/04/2024;9.350
19/04/2024;9.475
18/04/2024;9.475
17/04/2024;9.525
16/04/2024;9.475
05/04/2024;9.825
04/04/2024;9.850
03/04/2024;9.525
02/04/2024;9.900
01/04/2024;9.850
28/03/2024;10.075
27/03/2024;10.075
26/03/2024;10.050
25/03/2024;10.075
22/03/2024;10.100
21/03/2024;10.125
20/03/2024;10.125
19/03/2024;10.175
18/03/2024;10.150
15/03/2024;10.150
14/03/2024;10.325
13/03/2024;10.000
08/03/2024;10.150
07/03/2024;10.125
06/03/2024;9.950
05/03/2024;9.800
04/03/2024;9.750
01/03/2024;9.825
29/02/2024;9.875
28/02/2024;10.000
27/02/2024;9.875
26/02/2024;9.800
23/02/2024;9.825
22/02/2024;9.875
21/02/2024;9.975
20/02/2024;10.025
19/02/2024;9.875
16/02/2024;9.950
15/02/2024;9.850
13/02/2024;9.725
12/02/2024;9.800
07/02/2024;9.700
06/02/2024;9.625
05/02/2024;9.575
02/02/2024;9.700
01/02/2024;9.700
31/01/2024;9.550
30/01/2024;9.650
29/01/2024;9.550
26/01/2024;9.350
25/01/2024;9.500
24/01/2024;9.525
23/01/2024;9.600
22/01/2024;9.625
19/01/2024;9.625
18/01/2024;9.675
17/01/2024;9.750
16/01/2024;9.700
15/01/2024;9.725
12/01/2024;9.700
11/01/2024;9.575
10/01/2024;9.550
09/01/2024;9.625
08/01/2024;9.575
05/01/2024;9.575
04/01/2024;9.475
03/01/2024;9.350
02/01/2024;9.425
29/12/2023;9.400
28/12/2023;9.400
27/12/2023;9.375
22/12/2023;9.325
21/12/2023;9.325
20/12/2023;9.300
19/12/2023;9.250
18/12/2023;9.200
15/12/2023;9.225
14/12/2023;9.050
13/12/2023;8.675
12/12/2023;8.700
11/12/2023;8.750
08/12/2023;8.750
07/12/2023;8.825
06/12/2023;8.800
05/12/2023;8.900
04/12/2023;8.925
01/12/2023;8.950
30/11/2023;8.975
29/11/2023;8.900
28/11/2023;8.875
27/11/2023;8.875
24/11/2023;8.925
23/11/2023;8.925
22/11/2023;8.875
21/11/2023;8.775
20/11/2023;8.875
17/11/2023;9.075
16/11/2023;9.075
15/11/2023;9.050
14/11/2023;8.925
13/11/2023;8.875
10/11/2023;8.825
09/11/2023;9.000
08/11/2023;9.000
07/11/2023;8.975
06/11/2023;9.050
03/11/2023;8.900
02/11/2023;8.850
01/11/2023;8.600
31/10/2023;8.750
30/10/2023;8.850
27/10/2023;8.700
26/10/2023;8.725
25/10/2023;8.875
24/10/2023;8.775
23/10/2023;8.850
20/10/2023;8.975
19/10/2023;8.750
18/10/2023;8.850
17/10/2023;8.950
16/10/2023;9.100
13/10/2023;9.075
12/10/2023;9.050
11/10/2023;8.925
10/10/2023;8.925
09/10/2023;9.050
06/10/2023;9.025
05/10/2023;9.075
04/10/2023;9.200
03/10/2023;9.200
02/10/2023;9.075
29/09/2023;8.825
27/09/2023;8.875
26/09/2023;8.950
25/09/2023;9.000
22/09/2023;9.075
21/09/2023;9.125
20/09/2023;9.150
19/09/2023;9.075
18/09/2023;9.000
15/09/2023;9.000
14/09/2023;9.100
13/09/2023;9.075
12/09/2023;9.100
11/09/2023;9.125
08/09/2023;9.125
07/09/2023;9.175
06/09/2023;9.150
05/09/2023;9.225
04/09/2023;9.225
01/09/2023;9.225
31/08/2023;9.175
30/08/2023;9.200
29/08/2023;9.250
28/08/2023;9.200
25/08/2023;9.275
24/08/2023;9.200
23/08/2023;9.300
22/08/2023;9.300
21/08/2023;9.175
18/08/2023;9.250
16/08/2023;9.300
15/08/2023;9.300
14/08/2023;9.350
11/08/2023;9.400
10/08/2023;9.400
09/08/2023;9.400
08/08/2023;9.200
07/08/2023;9.275
04/08/2023;9.150
03/08/2023;9.250
02/08/2023;9.200
01/08/2023;9.125
31/07/2023;9.125
28/07/2023;9.125
27/07/2023;9.225
26/07/2023;9.350
25/07/2023;9.150
24/07/2023;9.100
21/07/2023;9.150
20/07/2023;9.150
18/07/2023;9.150
17/07/2023;9.175
14/07/2023;9.200
13/07/2023;9.125
12/07/2023;9.175
11/07/2023;9.025
10/07/2023;9.050
07/07/2023;9.025
06/07/2023;9.075
05/07/2023;9.050
04/07/2023;9.050
03/07/2023;9.075
27/06/2023;9.150
26/06/2023;9.075
23/06/2023;9.050
22/06/2023;9.050
21/06/2023;9.125
20/06/2023;9.050
